example_id,customer_text,response_text,intent,escalate,label_notes
1,@AppleSupport I’m trying to create a photo book but it says the store is down. Is there a downtime?,@638329 We'd love to help. Are you still running into the same issue? Let us know in DM. https://t.co/GDrqU22YpT,app_service,false,Photo book store outage – could be app or service issue
2,WTF!! @115858 @AppleSupport @2531 this update is BULLSHIT my battery is fkn fried I literally unplug it and it drops to 70% FIX THIS SHIT! #iphone #iosfail #ios1111 #iphonefail,@666667 We’re happy to look into issues with your battery draining more quickly than expected. Let’s start here by comparing your settings to these settings for maximizing battery performance: https://t.co/bivpdfBNJ6,battery_power,false,
3,@262392 @115858 @AppleSupport Same with mine...won’t keep a charge!,@501619 We'd really like to opportunity to help you with this issue. Please get in touch with us in DM. https://t.co/GDrqU22YpT,battery_power,false,
4,@115858 I switched mobile phone network last Thursday. My apple phone was locked. 5 days on still locked. Does this make me want to purchase another Apple product? No. Poor service.,@775108 We know how important it is to have a working phone. Can you provide us with the details of your phone being locked? We'll take it from there.,device_access,true,Phone locked after carrier switch; requires account/carrier investigation
5,has @115858 stopped the new music playlist? Mine doesn't show up anymore,@309312 We know how much we love the new playlists. Let's figure this out together. Can you provide us which iOS you're using?,app_service,false,Apple Music playlist missing
6,@AppleSupport don’t know how to get help with this: I continuously have to log in with my Apple ID and password in “environment: Sandbox”. What is this and how do I get rid of it? It’s very annoying using navigation.,"@592138 We want to help you find a solution. Please send us a DM with your device type, and software version so we may assist. https://t.co/GDrqU22YpT",account_security,false,Repeated Apple ID login prompt in sandbox environment
7,@115858 please fix this keyboard correction error “I.T” is really annoying 🙂,"@224799 We want to help. To start, can you tell us which device and iOS you’re using please?",software_update,false,Keyboard autocorrect bug after iOS update
8,Hey @AppleSupport @117735 Haven't been able to activate my iPhone X for 1+ hour due to your activation server &amp; I don't appear to be alone,@476030   We can look into your activation concerns. Check out this link here: https://t.co/Mhw9pFAK08 Let us know if this helps.,device_access,true,iPhone X activation failure; activation server may require investigation
9,@AppleSupport can you unlock my iPhone? It has been locked since Saturday,@682457 We're happy to look into the issue. Can you tell us in DM a bit more about what you mean by locked? https://t.co/GDrqU22YpT,device_access,true,"iPhone locked; nature of lock unclear, needs human investigation"
10,Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport,"@119400 Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: https://t.co/GDrqU22YpT",battery_power,false,
11,@AppleSupport updated to iOS11 and instantly lost 3 years worth of pics on my camera roll. Anything coming to restore them?,@613226 We'll get this resolved for you. Meet us in DM with the exact iOS version in Settings &gt; General &gt; About &gt; Version to begin. https://t.co/GDrqU22YpT,icloud_data,true,Photos lost after iOS 11 update; potential data loss
12,"Hey @AppleSupport, I got an iPhone x reservation but want to change my payment method (to pay in full). Is that possible? How?",@438231 Hey there! We're so excited you got the iPhone X! Reach out to our Sales Team for help here: https://t.co/8yjRd1Xo0i,purchase_tradein,false,Change payment method for iPhone X reservation
13,@AppleSupport Yes I probably did happen on my old one and yes I did restore the back up from it. It does happen at random,@230646 Good to know. Do you have any display brightness or display color apps installed? Does it occur when in a really bright or dark setting/room?,software_update,false,Restore from backup context; display issue after update
14,@AppleSupport if y’all don’t get y’all shit together and fix this dam problem with my phone glitching and deleting my photos I️ swear,"@513228 We'd be happy to help. Send us a DM with a few details, and we can start there. https://t.co/GDrqU22YpT",icloud_data,true,Photos being deleted; potential data loss
15,"@240829 @115858 For some reason everytime i go into the App Store it keeps saying "" cancel or Buy"" but i don't get it because my apps are free","@240828 While we do recommend continuing with the advisor you're currently on the phone with, we'd like to see how we can help over Twitter. Please DM us more details here: https://t.co/GDrqU2kzhr",app_service,false,App Store showing Buy/Cancel for free apps
16,@AppleSupport It was a apple store online purchase,@483400 Thanks. Our Sales team would best be able to assist you. You can find their contact options here:  https://t.co/8yjRd1Xo0i,purchase_tradein,false,Apple Store online purchase inquiry
17,@AppleSupport I mean the Quality of the screen is it looking ok compared to other iPhone X and yes,@230682 Image quality is not something we can evaluate from a photo taken with another device. Are you noticing an issue with the screen?,hardware_device,false,iPhone X screen quality question
18,@115858 Hey. Any idea when your activation servers are going to be back up? Pretty bummed.,@476190 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,device_access,true,Activation servers down; blocking phone setup
19,@AppleSupport Nope but whenever I connect it to my laptop on iTunes it says error connecting to iPhone. I'm about to wipe my thing because according to everyone that's all you can do unless you use iCloud 😐,"@656937 If you have an iTunes backup, you don't necessarily need iCloud, so let's explore the error that you're seeing. What's the exact text you see when you plug your iPhone into the computer? Let us know in DM and we'll dig in further. https://t.co/GDrqU22YpT",general_troubleshooting,false,iTunes connection error; iCloud restore question
20,"@118936 @AppleSupport Only fix for this either I should ""Reset my Home Screen Layout"" from Device Settings or I need to restart the device 😟😫","@191944 We'd like to look into this with you, and we'll do all we can to help. To get started, does this happen with every app that you update through the App Store, or only some apps? Does restarting your device have any effect on this behavior?",software_update,false,Home screen layout issue after App Store update
21,"@115858 few things are more annoying than the ""Enter Password For Your Apple ID"" pop up every 30 seconds. Going to throw iPad thru wall soon",@287896 Hi. We'd like to help. Are you getting any errors when you enter your Apple ID password? Let us know in DM. https://t.co/GDrqU2kzhr,account_security,false,Repeated Apple ID password prompts on iPad
22,11.0.3 update is awful - talk to text is worthless. Will this be fixed? @115858,@576450 We'd like to help. Do you mean using Siri to create or respond to text messages? Send us a DM. https://t.co/GDrqU22YpT,software_update,false,Talk-to-text broken after iOS 11.0.3
23,@AppleSupport Mail app. Also having problem iMessaging pictures.,"@394936 Which accounts do you use in Mail? Also, what issues are you having with pictures in iMessage? Let us know via DM. https://t.co/GDrqU2kzhr",app_service,false,Mail app issues and iMessage picture problems
24,@AppleSupport iCloud photos backup vanished.,"@511450 For help with iCloud Photos, reach out to our Apple Apps team here:  https://t.co/IBIY3vMgPj",icloud_data,true,iCloud photos backup vanished; potential data loss
25,@AppleSupport This isn’t he only app that the screen freezes on. I also don’t have any random apps or new ones.,"@371030 So that we can look into this further with you, feel free to DM us what country you're in, and we'll go from there: https://t.co/GDrqU22YpT",software_update,false,Screen freeze on multiple apps after update
26,My home button broke @AppleSupport,@506176 We'd like to look into support options with you. Join us in DM. https://t.co/GDrqU22YpT,hardware_device,true,Home button physically broken
27,@AppleSupport was my iCloud photo library supposed to automatically transfer to my new iPhone when I signed into icloud? It didn’t.,@481188 Let's help get this sorted. Is iCloud Photo Library enabled as shown here? https://t.co/8YUslsnsM5 Let us know in DM. https://t.co/GDrqU22YpT,icloud_data,false,iCloud Photo Library didn't transfer to new iPhone
28,@AppleSupport I have 11.1.2 and have that problem with most apps. including the camera! it sometimes takes 30 sekunds to open it! And sometimes the screen simply doesn't respons anymore. All on an iPhone 6.,"@739950 Are you tried to restart your iPhone? If so, does it help the issue?",software_update,false,Apps slow/unresponsive after iOS 11 on iPhone 6
29,@AppleSupport either the apps randomly close while in use or refuse to open entirely. Half of my music is unavailable too,@430738 Got it. Have you checked the AppStore to see if there are any updates available for your apps? Are you an Apple Music Member?,app_service,false,Apps randomly closing; Apple Music tracks unavailable
30,"@AppleSupport Tried all these. Now iMessage works on phone, but not on MacBook, and FaceTime works on neither. I’ll wait 24 hours.",@456497 We're here for you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,app_service,false,iMessage on MacBook and FaceTime not working
31,"My phone 🚮, thanks to the upgrade @AppleSupport",@640030 Hi. This is not the experience we want you to have. We'd like to help with the issue you're having with your iPhone. Could you tell us more about what's happening?,software_update,false,"Phone ruined after upgrade – vague, general complaint"
32,"@AppleSupport Please look into iPhone 8 Plus glitches. I’m on the new iOS 11.0.3 and this still happens when I open a folder, it’s annoying. https://t.co/ulI6CPr9jf",@537455 We'd like to look into this with you. When did this start happening? DM us the answer and we'll continue there. https://t.co/GDrqU22YpT,software_update,false,iOS 11.0.3 folder glitch on iPhone 8 Plus
33,"@AppleSupport Now I am really unhappy. Yesterday my iPad Pro could not determine my location whilst using a Telstra wifi device, in fact it still cant.  And now, my $235 Apple iPad Pro keyboard stops working.

Less than happy, both my previous iPads worked near flawlessly.",@461121 Let's work together on these issues. Does the iPad find your location when you're connected to other networks? Are you using a Smart Keyboard? Please DM us and we'll continue there. https://t.co/GDrqU22YpT,hardware_device,true,iPad Pro GPS issue + keyboard not working; multiple hardware failures
34,@AppleSupport Photos are taken in the same conditions,@720799 Thanks for reaching out. DM the specific iOS version you are using to get started. https://t.co/GDrqU22YpT,icloud_data,false,Photo quality question in context of iCloud/camera
35,"Got a sweet new phone, to bad the carrier activation servers are falling over.. @117735 @ATT @AppleSupport",@592306 We want you to be able to enjoy your iPhone. DM us about which country you're currently located in. We'd like to look into this: https://t.co/GDrqU22YpT,device_access,true,Carrier activation servers down on new iPhone
36,@AppleSupport is there a way to reset my network settings without deleting my keychain? My phone keeps disconnecting from WiFi saying wrong password but if I put in the code or press cancel it’s still connected,"@652843 We'd be happy to look into this Wi-Fi issue with you. Please DM us your model device, the OS installed and any troubleshooting steps you've already performed. https://t.co/GDrqU22YpT",general_troubleshooting,false,"WiFi disconnecting/wrong password, network settings question"
37,@AppleSupport why has it gotten difficult for me to access my apple music account. something is up,"@227624 Let's find a solution together. What kind of device do you have, and what happens when you try to access Apple Music?",account_security,false,Difficulty accessing Apple Music account – access problem
38,@AppleSupport I have a IPHONE 7 plus since new download of IOS11 all my voice mail no longer transcribe. I want it back!! What do I do?????,@702856 We're glad you ask. You'll find the steps you need here: https://t.co/FaFf2KILzY,software_update,false,Voicemail transcription stopped after iOS 11
39,"@AppleSupport Does this restore the iPad to its factory settings or when it works again, does it keep everything it had when it started???","@271209 We know how important your data is on your device. To make sure we provide the correct steps to you, let’s move to DM. https://t.co/GDrqU22YpT",general_troubleshooting,false,Question about restore and data preservation
40,"@AppleSupport 

How do i delete all the Photos from https://t.co/iP1y30342f ?",@322221 We'd like to help! Check out this article: https://t.co/xUQB5gMwOr,icloud_data,false,How to delete photos from iCloud.com
41,"@115858 I'm SUPER frustrated with iPhoto. In last 2 weeks, randomly imported 10 yrs of photos to my phone. Why?!",@201766 We'd love to look into this with you. Is iCloud Photo Library turned on? Let us know in DM. https://t.co/GDrqU22YpT,icloud_data,false,iPhoto randomly imported 10 years of photos to phone
42,"@AppleSupport is this a legit Apple email address? I got a ""Thank you for your purchase"" email from it, LOOKS official and everything but, you know: __email__",@622396 That is not from us. We've got an article that explains what to do and how to report these emails: https://t.co/LNMCdqt6fD,account_security,true,Suspicious purchase email; potential phishing/security concern
43,@AppleSupport Didn’t have to follow those steps. With the battery below 10% and temperature below 5 Celsius the phone shut down by itself. When it came back up the News app was gone. I guess still no News app for #Canada.,@693978 Understood. Let's get to DM to continue. https://t.co/GDrqU22YpT,battery_power,false,Battery-driven shutdown and missing News app
